epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,10406.3,1.23214,0.8278,1.27388,0.93721,0.89944,0.95422,0.68803,1.03096,0.59571,1.19303,0.000226497,0.000226497,0.000226497
87,10520,1.22775,0.81967,1.27456,0.93933,0.89335,0.95215,0.68841,1.02201,0.59198,1.18808,0.000212349,0.000212349,0.000212349
88,10659.8,1.21926,0.81161,1.26684,0.93516,0.89835,0.95232,0.69265,1.00598,0.59139,1.17771,0.000198202,0.000198202,0.000198202
89,10755.5,1.20641,0.80438,1.26282,0.93059,0.90187,0.95183,0.69394,0.99959,0.58969,1.1729,0.000184055,0.000184055,0.000184055
90,10893.7,1.19228,0.80001,1.2553,0.93466,0.90591,0.95429,0.69782,0.99729,0.58567,1.17382,0.000169908,0.000169908,0.000169908
91,10984.1,1.14435,0.67321,1.26555,0.93523,0.90306,0.95357,0.69029,1.01719,0.58803,1.17806,0.000155761,0.000155761,0.000155761
92,11124.2,1.11355,0.65145,1.25034,0.93788,0.89521,0.95237,0.69113,1.01101,0.58687,1.17511,0.000141614,0.000141614,0.000141614
93,11292.8,1.09789,0.6469,1.23799,0.9365,0.90136,0.9525,0.69122,1.01442,0.58765,1.17645,0.000127467,0.000127467,0.000127467
94,11416.7,1.07787,0.62832,1.22011,0.94117,0.90145,0.95399,0.68972,1.01552,0.58262,1.17585,0.00011332,0.00011332,0.00011332
95,11509.6,1.07627,0.63333,1.23288,0.93876,0.90245,0.95267,0.68954,1.01519,0.58191,1.1764,9.91726e-05,9.91726e-05,9.91726e-05
96,11603.7,1.06476,0.62255,1.21599,0.93751,0.90037,0.95403,0.69098,1.01459,0.57895,1.17402,8.50255e-05,8.50255e-05,8.50255e-05
97,11694.1,1.05997,0.62252,1.21631,0.93398,0.90159,0.95345,0.69195,1.00945,0.57841,1.16991,7.08784e-05,7.08784e-05,7.08784e-05
98,11790.2,1.04453,0.61278,1.20389,0.93722,0.89554,0.95344,0.69262,1.01113,0.57755,1.16944,5.67313e-05,5.67313e-05,5.67313e-05
99,11884.7,1.0411,0.60557,1.2029,0.94306,0.89618,0.95413,0.6925,1.0085,0.57778,1.16824,4.25842e-05,4.25842e-05,4.25842e-05
100,11976.4,1.0402,0.60767,1.20092,0.94663,0.89791,0.95587,0.69461,1.00052,0.57536,1.16428,2.84371e-05,2.84371e-05,2.84371e-05
